"Address","Type","Datetime","Latitude","Longitude","Report Location","Incident Number"
"1835 7th Ave W","Medic Response","2022 Nov 19 04:54:00 PM","47.635162","-122.366351","POINT (-122.366351 47.635162)","F220141248"
"1023 E Alder St","Medic Response","2022 Nov 19 03:13:00 PM","47.60436","-122.319104","POINT (-122.319104 47.60436)","F220141205"
"5001 Ravenna Ave Ne","Medic Response","2022 Nov 19 03:08:00 PM","47.665","-122.30345","POINT (-122.30345 47.665)","F220141202"
"555 16th Ave","Medic Response","2022 Nov 19 02:45:00 PM","47.606687","-122.31155","POINT (-122.31155 47.606687)","F220141194"
"937 N 96th St","Medic Response","2022 Nov 19 02:36:00 PM","47.698721","-122.34681","POINT (-122.34681 47.698721)","F220141190"
"401 Lenora St","Medic Response","2022 Nov 19 02:21:00 PM","47.613838","-122.341324","POINT (-122.341324 47.613838)","F220141185"
"3860 51st Ave Ne","Medic Response","2022 Nov 19 01:41:00 PM","47.656351","-122.272453","POINT (-122.272453 47.656351)","F220141160"
"3035 Ne 130th St","Medic Response","2022 Nov 19 01:27:00 PM","47.7229","-122.29573","POINT (-122.29573 47.7229)","F220141155"
"12329 Roosevelt Way Ne","Medic Response","2022 Nov 19 01:04:00 PM","47.717893","-122.318086","POINT (-122.318086 47.717893)","F220141146"
"2615 Sw Barton St","Medic Response","2022 Nov 19 12:15:00 PM","47.521023","-122.366095","POINT (-122.366095 47.521023)","F220141117"
"14041 Courtland Pl N","Medic Response","2022 Nov 19 12:09:00 PM","47.730703","-122.338007","POINT (-122.338007 47.730703)","F220141111"
"Sand Point Way Ne / Ne 95th St","Medic Response","2022 Nov 19 12:03:00 PM","47.697359","-122.277622","POINT (-122.277622 47.697359)","F220141104"
"210 Alaskan Way S","Medic Response","2022 Nov 19 12:03:00 PM","47.600593","-122.335915","POINT (-122.335915 47.600593)","F220141105"
"301 Pike St","Medic Response","2022 Nov 19 12:00:00 PM","47.609755","-122.337782","POINT (-122.337782 47.609755)","F220141102"
"1st Ave / Yesler Way","Medic Response","2022 Nov 19 10:37:00 AM","47.601722","-122.334179","POINT (-122.334179 47.601722)","F220141064"
"100 Crockett St","Medic Response","2022 Nov 19 09:58:00 AM","47.637416","-122.355598","POINT (-122.355598 47.637416)","F220141054"
"4105 Brooklyn Ave Ne","Medic Response","2022 Nov 19 09:24:00 AM","47.656908","-122.3144","POINT (-122.3144 47.656908)","F220141043"
"747 N 135th St","Medic Response","2022 Nov 19 08:52:00 AM","47.726803","-122.347793","POINT (-122.347793 47.726803)","F220141036"
"1823 Terry Ave","Medic Response","2022 Nov 19 08:41:00 AM","47.615667","-122.332592","POINT (-122.332592 47.615667)","F220141033"
"105 W Highland Dr","Medic Response","2022 Nov 19 08:26:00 AM","47.629577","-122.357972","POINT (-122.357972 47.629577)","F220141026"
"431 Nw 100th Pl","Medic Response","2022 Nov 19 06:38:00 AM","47.702746","-122.363403","POINT (-122.363403 47.702746)","F220141005"
"Myers Way S / Olson Pl Sw","Medic Response","2022 Nov 19 06:35:00 AM","47.522322","-122.334841","POINT (-122.334841 47.522322)","F220141004"
"525 S Jackson St","Medic Response","2022 Nov 19 05:28:00 AM","47.599194","-122.327334","POINT (-122.327334 47.599194)","F220140982"
"4222 26th Ave Sw","Medic Response","2022 Nov 19 05:22:00 AM","47.56601","-122.365463","POINT (-122.365463 47.56601)","F220140980"
"720 Blanchard St","Medic Response","2022 Nov 19 04:15:00 AM","47.616731","-122.339879","POINT (-122.339879 47.616731)","F220140963"
"5915 Delridge Way Sw","Medic Response","2022 Nov 19 03:32:00 AM","47.549955","-122.363012","POINT (-122.363012 47.549955)","F220140950"
"3rd Ave / Union St","Medic Response","2022 Nov 19 01:10:00 AM","47.608756","-122.336885","POINT (-122.336885 47.608756)","F220140928"
"803 E Denny Way","Medic Response","2022 Nov 19 01:02:00 AM","47.618733","-122.322146","POINT (-122.322146 47.618733)","F220140926"
"3005 Rainier Ave S","Medic Response","2022 Nov 19 12:40:00 AM","47.576698","-122.296889","POINT (-122.296889 47.576698)","F220140920"
"3rd Ave / Yesler Way","Medic Response","2022 Nov 18 11:48:00 PM","47.601716","-122.330265","POINT (-122.330265 47.601716)","F220140903"
"914 James St","Medic Response","2022 Nov 18 11:42:00 PM","47.605621","-122.324591","POINT (-122.324591 47.605621)","F220140898"
"5004 S Snoqualmie St","Medic Response","2022 Nov 18 11:33:00 PM","47.561763","-122.270661","POINT (-122.270661 47.561763)","F220140897"
"6512 30th Ave Sw","Medic Response","2022 Nov 18 11:32:00 PM","47.544299","-122.369937","POINT (-122.369937 47.544299)","F220140896"
"8600 Aurora Ave N","Medic Response","2022 Nov 18 10:45:00 PM","47.691287","-122.344531","POINT (-122.344531 47.691287)","F220140880"
"3025 Ne 130th St","Medic Response","2022 Nov 18 10:22:00 PM","47.7229","-122.29591","POINT (-122.29591 47.7229)","F220140869"
"4515 50th Ave S","Medic Response","2022 Nov 18 09:37:00 PM","47.562759","-122.270718","POINT (-122.270718 47.562759)","F220140852"
"10 E Roanoke St","Medic Response","2022 Nov 18 08:50:00 PM","47.643193","-122.328643","POINT (-122.328643 47.643193)","F220140832"
"14004 Wallingford Ave N","Medic Response","2022 Nov 18 08:40:00 PM","47.731055","-122.33695","POINT (-122.33695 47.731055)","F220140827"
"555 16th Ave","Medic Response","2022 Nov 18 08:11:00 PM","47.606687","-122.31155","POINT (-122.31155 47.606687)","F220140819"
"5200 Fauntleroy Way Sw","Medic Response","2022 Nov 18 07:49:00 PM","47.55563","-122.381526","POINT (-122.381526 47.55563)","F220140811"
"9455 27th Ave Sw","Medic Response","2022 Nov 18 07:24:00 PM","47.518178","-122.367277","POINT (-122.367277 47.518178)","F220140801"
"3219 Walnut Ave Sw","Medic Response","2022 Nov 18 07:06:00 PM","47.575374","-122.383567","POINT (-122.383567 47.575374)","F220140796"
"9546 2nd Ave Nw","Medic Response","2022 Nov 18 06:33:00 PM","47.698262","-122.359402","POINT (-122.359402 47.698262)","F220140780"
"820 Nw 95th St","Medic Response","2022 Nov 18 06:29:00 PM","47.697867","-122.367016","POINT (-122.367016 47.697867)","F220140777"
"5011 Brooklyn Ave Ne","Medic Response","2022 Nov 18 06:29:00 PM","47.664986","-122.314209","POINT (-122.314209 47.664986)","F220140776"
"6809 42nd Ave Ne","Medic Response","2022 Nov 18 05:28:00 PM","47.677675","-122.283616","POINT (-122.283616 47.677675)","F220140757"
"840 Nw Market St","Medic Response","2022 Nov 18 05:22:00 PM","47.668656","-122.367143","POINT (-122.367143 47.668656)","F220140752"
"4818 M L King Jr Way S","Medic Response","2022 Nov 18 04:46:00 PM","47.559093","-122.292171","POINT (-122.292171 47.559093)","F220140734"
"8328 37th Ave S","Medic Response","2022 Nov 18 04:30:00 PM","47.528388","-122.285956","POINT (-122.285956 47.528388)","F220140730"
"14396 30th Ave Ne","Medic Response","2022 Nov 18 03:02:00 PM","47.732881","-122.296531","POINT (-122.296531 47.732881)","F220140698"
"904 7th Ave","Medic Response","2022 Nov 18 02:47:00 PM","47.6069","-122.329051","POINT (-122.329051 47.6069)","F220140687"
"5016 California Ave Sw","Medic Response","2022 Nov 18 02:41:00 PM","47.557328","-122.386888","POINT (-122.386888 47.557328)","F220140686"
"601 Prospect St","Medic Response","2022 Nov 18 02:14:00 PM","47.628902","-122.34485","POINT (-122.34485 47.628902)","F220140672"
"3rd Ave / Yesler Way","Medic Response","2022 Nov 18 01:31:00 PM","47.601716","-122.330265","POINT (-122.330265 47.601716)","F220140655"
"8720 14th Ave S","Medic Response","2022 Nov 18 01:28:00 PM","47.525419","-122.314927","POINT (-122.314927 47.525419)","F220140654"
"4700 38th Ave Sw","Medic Response","2022 Nov 18 01:11:00 PM","47.561082","-122.380063","POINT (-122.380063 47.561082)","F220140649"
"811 Maynard Ave S","Medic Response","2022 Nov 18 11:31:00 AM","47.595741","-122.325068","POINT (-122.325068 47.595741)","F220140598"
"4th Ave S / S Holgate St","Medic Response","2022 Nov 18 10:36:00 AM","47.58617","-122.329062","POINT (-122.329062 47.58617)","F220140574"
"500 17th Ave","Medic Response","2022 Nov 18 10:12:00 AM","47.606176","-122.310249","POINT (-122.310249 47.606176)","F220140564"
"13023 Greenwood Ave N","Medic Response","2022 Nov 18 09:24:00 AM","47.723436","-122.355547","POINT (-122.355547 47.723436)","F220140539"
"2326 California Ave Sw","Medic Response","2022 Nov 18 09:05:00 AM","47.582838","-122.386485","POINT (-122.386485 47.582838)","F220140531"
"5331 S Avon St","Medic Response","2022 Nov 18 06:34:00 AM","47.501409","-122.267016","POINT (-122.267016 47.501409)","F220140488"
"14th Ave S / S Holgate St","Medic Response","2022 Nov 18 06:32:00 AM","47.586367","-122.314668","POINT (-122.314668 47.586367)","F220140487"
"3244 Nw 54th St","Medic Response","2022 Nov 18 06:13:00 AM","47.667464","-122.399817","POINT (-122.399817 47.667464)","F220140482"
"1201 S Cloverdale St","Medic Response","2022 Nov 18 04:59:00 AM","47.526449","-122.317569","POINT (-122.317569 47.526449)","F220140469"
"2210 47th Ave Sw","Medic Response","2022 Nov 18 04:21:00 AM","47.583953","-122.391813","POINT (-122.391813 47.583953)","F220140459"
"2119 3rd Ave","Medic Response","2022 Nov 18 04:20:00 AM","47.613308","-122.342432","POINT (-122.342432 47.613308)","F220140458"
"11 W Aloha St","Medic Response","2022 Nov 18 02:57:00 AM","47.627192","-122.356823","POINT (-122.356823 47.627192)","F220140443"
"Rainier Ave S / S Andover St","Medic Response","2022 Nov 17 11:55:00 PM","47.567948","-122.289244","POINT (-122.289244 47.567948)","F220140403"
"13000 Linden Ave N","Medic Response","2022 Nov 17 11:52:00 PM","47.723218","-122.348195","POINT (-122.348195 47.723218)","F220140401"
"1807 13th Ave S","Medic Response","2022 Nov 17 11:50:00 PM","47.586714","-122.315981","POINT (-122.315981 47.586714)","F220140399"
"1703 California Ave Sw","Medic Response","2022 Nov 17 11:15:00 PM","47.588027","-122.386277","POINT (-122.386277 47.588027)","F220140387"
"415 E Pike St","Medic Response","2022 Nov 17 11:06:00 PM","47.614085","-122.326188","POINT (-122.326188 47.614085)","F220140384"
"6785 Murray Ave Sw","Medic Response","2022 Nov 17 10:56:00 PM","47.542226","-122.393645","POINT (-122.393645 47.542226)","F220140381"
"556 Ward St","Medic Response","2022 Nov 17 10:15:00 PM","47.628029","-122.34593","POINT (-122.34593 47.628029)","F220140370"
"4700 38th Ave Sw","Medic Response","2022 Nov 17 10:09:00 PM","47.561082","-122.380063","POINT (-122.380063 47.561082)","F220140367"
"301 12th Ave","Medic Response","2022 Nov 17 08:51:00 PM","47.60436","-122.316781","POINT (-122.316781 47.60436)","F220140341"
"4915 25th Ave Ne","Medic Response","2022 Nov 17 07:57:00 PM","47.664451","-122.300909","POINT (-122.300909 47.664451)","F220140327"
"2506 2nd Ave","Medic Response","2022 Nov 17 07:42:00 PM","47.615389","-122.347935","POINT (-122.347935 47.615389)","F220140322"
"8811 4th Ave S","Medic Response","2022 Nov 17 06:51:00 PM","47.524504","-122.329713","POINT (-122.329713 47.524504)","F220140301"
"2ND AVE / UNIVERSITY ST","Medic Response","2022 Nov 17 06:45:00 PM","47.607299","-122.337087","POINT (-122.337087 47.607299)","F220140295"
"8850 16th Ave Sw","Medic Response","2022 Nov 17 06:02:00 PM","47.524242","-122.355088","POINT (-122.355088 47.524242)","F220140277"
"7339 43rd Ave S","Medic Response","2022 Nov 17 06:01:00 PM","47.536691","-122.279379","POINT (-122.279379 47.536691)","F220140276"
"12536 33rd Ave Ne","Medic Response","2022 Nov 17 04:43:00 PM","47.719514","-122.292729","POINT (-122.292729 47.719514)","F220140251"
"19th Ave S / S Massachusetts St","Medic Response","2022 Nov 17 04:41:00 PM","47.588423","-122.308391","POINT (-122.308391 47.588423)","F220140249"
"12505 Greenwood Ave N","Medic Response","2022 Nov 17 04:20:00 PM","47.719638","-122.355539","POINT (-122.355539 47.719638)","F220140236"
"2418 Nw 56th St","Medic Response","2022 Nov 17 04:08:00 PM","47.669458","-122.387807","POINT (-122.387807 47.669458)","F220140232"
"Airport Way S / S Lucile St","Medic Response","2022 Nov 17 04:04:00 PM","47.553351","-122.321004","POINT (-122.321004 47.553351)","F220140230"
"2311 S Juneau St","Medic Response","2022 Nov 17 03:26:00 PM","47.550118","-122.303793","POINT (-122.303793 47.550118)","F220140210"
"9421 18th Ave Sw","Medic Response","2022 Nov 17 03:13:00 PM","47.519001","-122.357838","POINT (-122.357838 47.519001)","F220140203"
"3906 S Kenyon St","Medic Response","2022 Nov 17 03:12:00 PM","47.531542","-122.283143","POINT (-122.283143 47.531542)","F220140204"
"7101 38th Ave S","Medic Response","2022 Nov 17 02:15:00 PM","47.538872","-122.284744","POINT (-122.284744 47.538872)","F220140190"
"1911 22nd Ave S","Medic Response","2022 Nov 17 01:05:00 PM","47.586234","-122.304237","POINT (-122.304237 47.586234)","F220140170"
"7TH AVE / JAMES ST","Medic Response","2022 Nov 17 12:07:00 PM","47.604625","-122.32697","POINT (-122.32697 47.604625)","F220140152"
"530 10th Ave E","Medic Response","2022 Nov 17 11:42:00 AM","47.623463","-122.319902","POINT (-122.319902 47.623463)","F220140136"
"105 5th Ave S","Medic Response","2022 Nov 17 11:31:00 AM","47.601643","-122.327656","POINT (-122.327656 47.601643)","F220140128"
"10357 14th Ave Nw","Medic Response","2022 Nov 17 10:55:00 AM","47.703877","-122.374084","POINT (-122.374084 47.703877)","F220140114"
"4501 DELRIDGE WAY SW","Medic Response","2022 Nov 17 10:05:00 AM","47.562889","-122.363361","POINT (-122.363361 47.562889)","F220140100"
"3430 Rainier Ave S","Medic Response","2022 Nov 17 09:16:00 AM","47.572606","-122.293767","POINT (-122.293767 47.572606)","F220140084"
"509 3RD AVE","Medic Response","2022 Nov 17 09:10:00 AM","47.602114","-122.330809","POINT (-122.330809 47.602114)","F220140082"
"825 Eastlake Ave E","Medic Response","2022 Nov 17 08:21:00 AM","47.626215","-122.329199","POINT (-122.329199 47.626215)","F220140064"
"2445 3rd Ave S","Medic Response","2022 Nov 17 08:19:00 AM","47.58158","-122.329988","POINT (-122.329988 47.58158)","F220140062"
"7529 17TH AVE NW","Medic Response","2022 Nov 17 08:19:00 AM","47.683475","-122.37893","POINT (-122.37893 47.683475)","F220140063"
"520 N 120th St","Medic Response","2022 Nov 17 08:12:00 AM","47.715965","-122.352622","POINT (-122.352622 47.715965)","F220140061"
"825 Eastlake Ave E","Medic Response","2022 Nov 17 07:55:00 AM","47.626215","-122.329199","POINT (-122.329199 47.626215)","F220140054"
"4831 35th Ave Sw","Medic Response","2022 Nov 17 07:46:00 AM","47.558988","-122.376234","POINT (-122.376234 47.558988)","F220140050"
"Ne 68th St / 34th Ave Ne","Medic Response","2022 Nov 17 03:13:00 AM","47.677599","-122.291679","POINT (-122.291679 47.677599)","F220140008"
"308 4th Ave S","Medic Response","2022 Nov 17 02:13:00 AM","47.599968","-122.328965","POINT (-122.328965 47.599968)","F220139994"
"13341 15th Ave Ne","Medic Response","2022 Nov 17 02:11:00 AM","47.725703","-122.312655","POINT (-122.312655 47.725703)","F220139992"
"12503 Greenwood Ave N","Medic Response","2022 Nov 17 01:04:00 AM","47.719619","-122.355539","POINT (-122.355539 47.719619)","F220139976"
"302 Ne Northgate Way","Medic Response","2022 Nov 17 12:11:00 AM","47.708611","-122.325928","POINT (-122.325928 47.708611)","F220139964"
"500 5th Ave","Medic Response","2022 Nov 16 11:33:00 PM","47.602985","-122.328535","POINT (-122.328535 47.602985)","F220139957"
"1660 S Columbian Way","Medic Response","2022 Nov 16 11:30:00 PM","47.561845","-122.310824","POINT (-122.310824 47.561845)","F220139955"
"8511 15th Ave Ne","Medic Response","2022 Nov 16 10:30:00 PM","47.690434","-122.31223","POINT (-122.31223 47.690434)","F220139943"
"Beacon Ave S / 11th Ave S","Medic Response","2022 Nov 16 10:07:00 PM","47.584336","-122.317921","POINT (-122.317921 47.584336)","F220139933"
"2022 S Columbian Way","Medic Response","2022 Nov 16 10:00:00 PM","47.559914","-122.305723","POINT (-122.305723 47.559914)","F220139931"
"116 Stewart St","Medic Response","2022 Nov 16 09:09:00 PM","47.610387","-122.341198","POINT (-122.341198 47.610387)","F220139915"
"9039 Greenwood Ave N","Medic Response","2022 Nov 16 08:43:00 PM","47.694565","-122.355343","POINT (-122.355343 47.694565)","F220139904"
"4311 7th Ave Ne","Medic Response","2022 Nov 16 08:19:00 PM","47.659579","-122.320837","POINT (-122.320837 47.659579)","F220139895"
"11510 4th Ave Ne","Medic Response","2022 Nov 16 08:17:00 PM","47.712322","-122.324718","POINT (-122.324718 47.712322)","F220139892"
"3rd Ave / Pine St","Medic Response","2022 Nov 16 08:02:00 PM","47.610743","-122.338702","POINT (-122.338702 47.610743)","F220139882"
"1307 N 46th St","Medic Response","2022 Nov 16 07:32:00 PM","47.662125","-122.342011","POINT (-122.342011 47.662125)","F220139872"
"12506 Lake City Way Ne","Medic Response","2022 Nov 16 06:25:00 PM","47.719325","-122.295206","POINT (-122.295206 47.719325)","F220139835"
"400 Pike St","Medic Response","2022 Nov 16 06:24:00 PM","47.610214","-122.336683","POINT (-122.336683 47.610214)","F220139834"
"4046 38th Ave Sw","Medic Response","2022 Nov 16 06:10:00 PM","47.567467","-122.380086","POINT (-122.380086 47.567467)","F220139829"
"810 Virginia St","Medic Response","2022 Nov 16 04:54:00 PM","47.615789","-122.336507","POINT (-122.336507 47.615789)","F220139798"
"8323 39th Ave S","Medic Response","2022 Nov 16 04:20:00 PM","47.52896","-122.283666","POINT (-122.283666 47.52896)","F220139783"
"11045 8th Ave Ne","Medic Response","2022 Nov 16 04:20:00 PM","47.7089","-122.320568","POINT (-122.320568 47.7089)","F220139784"
"Terry Ave / Stewart St","Medic Response","2022 Nov 16 03:39:00 PM","47.616281","-122.333577","POINT (-122.333577 47.616281)","F220139774"
"3rd Ave / Pike St","Medic Response","2022 Nov 16 03:37:00 PM","47.60975","-122.337793","POINT (-122.337793 47.60975)","F220139769"
"1039 6th Ave S","Medic Response","2022 Nov 16 03:35:00 PM","47.593751","-122.325968","POINT (-122.325968 47.593751)","F220139767"
"6240 26th Ave Ne","Medic Response","2022 Nov 16 03:35:00 PM","47.674209","-122.299591","POINT (-122.299591 47.674209)","F220139765"
"132 Ne 95th St","Medic Response","2022 Nov 16 03:18:00 PM","47.697728","-122.32802","POINT (-122.32802 47.697728)","F220139760"
"4225 Roosevelt Way Ne","Medic Response","2022 Nov 16 02:42:00 PM","47.657942","-122.317791","POINT (-122.317791 47.657942)","F220139749"
"2150 N 107th St","Medic Response","2022 Nov 16 02:13:00 PM","47.70684","-122.332461","POINT (-122.332461 47.70684)","F220139738"
"937 N 96th St","Medic Response","2022 Nov 16 01:32:00 PM","47.698721","-122.34681","POINT (-122.34681 47.698721)","F220139719"
"13300 Stone Ave N","Medic Response","2022 Nov 16 12:21:00 PM","47.725515","-122.3423","POINT (-122.3423 47.725515)","F220139693"
"8511 15th Ave Ne","Medic Response","2022 Nov 16 10:54:00 AM","47.690434","-122.31223","POINT (-122.31223 47.690434)","F220139662"
"814 Ne 103rd St","Medic Response","2022 Nov 16 10:49:00 AM","47.703121","-122.320256","POINT (-122.320256 47.703121)","F220139660"
"15th Ave W / W Emerson St","Medic Response","2022 Nov 16 10:48:00 AM","47.653993","-122.376215","POINT (-122.376215 47.653993)","F220139659"
"210 Alaskan Way S","Medic Response","2022 Nov 16 10:34:00 AM","47.600593","-122.335915","POINT (-122.335915 47.600593)","F220139655"
"4550 Fauntleroy Way Sw","Medic Response","2022 Nov 16 10:28:00 AM","47.562004","-122.380425","POINT (-122.380425 47.562004)","F220139651"
"10021 51st Ave Sw","Medic Response","2022 Nov 16 08:36:00 AM","47.513437","-122.394658","POINT (-122.394658 47.513437)","F220139624"
"6935 Fauntleroy Way Sw","Medic Response","2022 Nov 16 08:27:00 AM","47.54133","-122.390043","POINT (-122.390043 47.54133)","F220139618"
"3815 S Othello St","Medic Response","2022 Nov 16 08:07:00 AM","47.537037","-122.284506","POINT (-122.284506 47.537037)","F220139607"
"1703 California Ave Sw","Medic Response","2022 Nov 16 07:36:00 AM","47.588027","-122.386277","POINT (-122.386277 47.588027)","F220139600"
"1925 E Miller St","Medic Response","2022 Nov 16 07:18:00 AM","47.641735","-122.306538","POINT (-122.306538 47.641735)","F220139593"
"7500 EAST MARGINAL WAY S","Medic Response","2022 Nov 16 06:06:00 AM","47.535372","-122.315012","POINT (-122.315012 47.535372)","F220139576"
"5135 S Bangor St","Medic Response","2022 Nov 16 06:04:00 AM","47.506146","-122.269671","POINT (-122.269671 47.506146)","F220139575"
"1001 Jefferson St","Medic Response","2022 Nov 16 04:41:00 AM","47.60531","-122.322978","POINT (-122.322978 47.60531)","F220139562"
"10001 Lake Shore Blvd Ne","Medic Response","2022 Nov 16 04:35:00 AM","47.701117","-122.273828","POINT (-122.273828 47.701117)","F220139559"
"2615 E Cherry St","Medic Response","2022 Nov 16 04:25:00 AM","47.608","-122.298096","POINT (-122.298096 47.608)","F220139556"
"13257 3rd Ave Nw","Medic Response","2022 Nov 16 04:08:00 AM","47.725483","-122.360946","POINT (-122.360946 47.725483)","F220139551"
"1101 Dexter Ave N","Medic Response","2022 Nov 16 03:50:00 AM","47.628891","-122.342311","POINT (-122.342311 47.628891)","F220139549"
"318 6th Ave S","Medic Response","2022 Nov 16 01:34:00 AM","47.599878","-122.326358","POINT (-122.326358 47.599878)","F220139527"
"601 S Washington St","Medic Response","2022 Nov 15 10:23:00 PM","47.600871","-122.326327","POINT (-122.326327 47.600871)","F220139482"
"1210 Alki Ave Sw","Medic Response","2022 Nov 15 09:13:00 PM","47.594592","-122.388387","POINT (-122.388387 47.594592)","F220139460"
"Summit Ave / E Howell St","Medic Response","2022 Nov 15 08:49:00 PM","47.61774","-122.325562","POINT (-122.325562 47.61774)","F220139452"
"Bellevue Ave E / E Denny Way","Medic Response","2022 Nov 15 08:44:00 PM","47.618493","-122.326726","POINT (-122.326726 47.618493)","F220139446"
"400 Yesler Way","Medic Response","2022 Nov 15 07:05:00 PM","47.60172","-122.328948","POINT (-122.328948 47.60172)","F220139417"
"1209 Westlake Ave N","Medic Response","2022 Nov 15 06:41:00 PM","47.62978","-122.341006","POINT (-122.341006 47.62978)","F220139409"
"1520 Bellevue Ave","Medic Response","2022 Nov 15 06:09:00 PM","47.614307","-122.326817","POINT (-122.326817 47.614307)","F220139400"
"12th Ave S / S King St","Medic Response","2022 Nov 15 06:08:00 PM","47.598338","-122.317228","POINT (-122.317228 47.598338)","F220139399"
"15th Ave S / S Oregon St","Medic Response","2022 Nov 15 05:58:00 PM","47.563504","-122.313511","POINT (-122.313511 47.563504)","F220139394"
"700 Broadway","Medic Response","2022 Nov 15 05:41:00 PM","47.608073","-122.320755","POINT (-122.320755 47.608073)","F220139390"
"2549 S Orcas St","Medic Response","2022 Nov 15 05:25:00 PM","47.550955","-122.299425","POINT (-122.299425 47.550955)","F220139381"
"6022 50th Ave Ne","Medic Response","2022 Nov 15 05:19:00 PM","47.672168","-122.273788","POINT (-122.273788 47.672168)","F220139380"
"510 Rainier Ave S","Medic Response","2022 Nov 15 03:09:00 PM","47.598245","-122.313341","POINT (-122.313341 47.598245)","F220139315"
"4401 4th Ave S","Medic Response","2022 Nov 15 02:05:00 PM","47.564617","-122.329378","POINT (-122.329378 47.564617)","F220139284"
"5528 15th Ave Ne","Medic Response","2022 Nov 15 12:46:00 PM","47.66879","-122.311883","POINT (-122.311883 47.66879)","F220139254"
"10750 30th Ave Ne","Medic Response","2022 Nov 15 12:39:00 PM","47.706969","-122.296231","POINT (-122.296231 47.706969)","F220139252"
"4575 Sand Point Way Ne","Medic Response","2022 Nov 15 12:37:00 PM","47.66185","-122.286109","POINT (-122.286109 47.66185)","F220139251"
"4123 Cheasty Blvd S","Medic Response","2022 Nov 15 12:34:00 PM","47.565686","-122.299757","POINT (-122.299757 47.565686)","F220139249"
"3rd Ave / Union St","Medic Response","2022 Nov 15 12:05:00 PM","47.608756","-122.336885","POINT (-122.336885 47.608756)","F220139236"
"1815 3rd Ave W","Medic Response","2022 Nov 15 11:44:00 AM","47.634915","-122.360991","POINT (-122.360991 47.634915)","F220139229"
"5410 California Ave Sw","Medic Response","2022 Nov 15 11:16:00 AM","47.553802","-122.38699","POINT (-122.38699 47.553802)","F220139219"
"2720 E Madison St","Medic Response","2022 Nov 15 11:14:00 AM","47.623153","-122.296667","POINT (-122.296667 47.623153)","F220139218"
"825 EASTLAKE AVE E","Medic Response","2022 Nov 15 11:00:00 AM","47.626215","-122.329199","POINT (-122.329199 47.626215)","F220139211"
"360 W EWING ST","Medic Response","2022 Nov 15 10:50:00 AM","47.652204","-122.362075","POINT (-122.362075 47.652204)","F220139206"
"1421 MINOR AVE","Medic Response","2022 Nov 15 09:19:00 AM","47.613146","-122.327096","POINT (-122.327096 47.613146)","F220139170"
"3925 Interlake Ave N","Medic Response","2022 Nov 15 09:09:00 AM","47.654491","-122.341233","POINT (-122.341233 47.654491)","F220139161"
"3602 NE 73RD ST","Medic Response","2022 Nov 15 08:07:00 AM","47.681279","-122.289103","POINT (-122.289103 47.681279)","F220139134"
"6519 4th Ave Ne","Medic Response","2022 Nov 15 07:32:00 AM","47.676261","-122.324735","POINT (-122.324735 47.676261)","F220139115"
"13533 Meridian Ave N","Medic Response","2022 Nov 15 06:56:00 AM","47.727146","-122.3342","POINT (-122.3342 47.727146)","F220139100"
"3257 39th Ave Sw","Medic Response","2022 Nov 15 06:14:00 AM","47.5749","-122.381375","POINT (-122.381375 47.5749)","F220139093"
"14115 Aurora Ave N","Medic Response","2022 Nov 15 05:40:00 AM","47.731129","-122.345064","POINT (-122.345064 47.731129)","F220139080"
"9551 Rainier Ave S","Medic Response","2022 Nov 15 04:38:00 AM","47.520126","-122.259197","POINT (-122.259197 47.520126)","F220139066"
"12313 38th Ave Ne","Medic Response","2022 Nov 15 04:31:00 AM","47.71746","-122.287305","POINT (-122.287305 47.71746)","F220139064"
"5028 Renton Ave S","Medic Response","2022 Nov 15 03:47:00 AM","47.556614","-122.288429","POINT (-122.288429 47.556614)","F220139052"
"800 Jefferson St","Medic Response","2022 Nov 15 01:33:00 AM","47.604377","-122.325207","POINT (-122.325207 47.604377)","F220139036"
"1253 S Jackson St","Medic Response","2022 Nov 15 01:31:00 AM","47.599193","-122.316407","POINT (-122.316407 47.599193)","F220139035"
"116 Fairview Ave N","Medic Response","2022 Nov 15 01:07:00 AM","47.618693","-122.334256","POINT (-122.334256 47.618693)","F220139028"
"2611 S Dearborn St","Medic Response","2022 Nov 14 09:44:00 PM","47.595541","-122.298643","POINT (-122.298643 47.595541)","F220138994"
"9th Ave / Lenora St","Medic Response","2022 Nov 14 09:30:00 PM","47.617154","-122.337036","POINT (-122.337036 47.617154)","F220138990"
"404 Terry Ave","Medic Response","2022 Nov 14 05:42:00 PM","47.604613","-122.322357","POINT (-122.322357 47.604613)","F220138920"
"1410 Ne 66th St","Medic Response","2022 Nov 14 04:22:00 PM","47.676516","-122.313014","POINT (-122.313014 47.676516)","F220138890"
"7304 Greenwood Ave N","Medic Response","2022 Nov 14 04:14:00 PM","47.681828","-122.355304","POINT (-122.355304 47.681828)","F220138888"
"1401 Madison St","Medic Response","2022 Nov 14 02:57:00 PM","47.610734","-122.321799","POINT (-122.321799 47.610734)","F220138866"
"2688 Ne University Village St","Medic Response","2022 Nov 14 02:30:00 PM","47.663336","-122.297813","POINT (-122.297813 47.663336)","F220138854"
"7500 Seward Park Ave S","Medic Response","2022 Nov 14 01:28:00 PM","47.535475","-122.267287","POINT (-122.267287 47.535475)","F220138830"
"5429 32nd Ave Nw","Medic Response","2022 Nov 14 12:46:00 PM","47.66785","-122.398315","POINT (-122.398315 47.66785)","F220138816"
